idx,나이,관심 아이템,관심 아웃도어
342,34.0,,
343,45.0,,"[0,0,0,0,1,0,0,0,0,0]"
344,34.0,,"[1,0,0,0,0,0,0,0,0,0]"
345,45.0,,"[0,0,0,0,0,0,0,0,0,1]"
346,27.0,,"[0,0,0,0,0,0,0,0,0,1]"
348,38.0,,"[0,0,0,0,0,0,0,0,0,1]"
349,42.0,,"[0,0,0,0,1,0,0,0,0,0]"
350,26.0,,"[1,0,0,0,0,0,0,0,0,0]"
351,,,
352,,,"[0,0,0,0,1,0,0,0,0,0]"
353,34.0,,"[1,0,0,0,0,0,0,0,0,0]"
354,39.0,,"[0,0,0,0,1,0,0,0,0,0]"
355,25.0,,"[0,0,0,0,0,0,0,0,0,1]"
356,28.0,,"[0,0,0,0,1,0,0,0,0,0]"
357,45.0,,
358,44.0,,"[0,0,0,0,0,0,0,0,0,1]"
359,31.0,,
360,34.0,,
361,41.0,,"[0,0,0,0,1,0,0,0,0,0]"
362,31.0,,"[0,0,0,0,0,0,0,0,0,1]"
364,44.0,,"[0,0,0,0,0,0,0,0,0,1]"
365,35.0,,
366,33.0,,
367,33.0,,"[0,0,0,0,1,0,0,0,0,0]"
368,33.0,,"[0,0,0,0,1,0,0,0,0,0]"
369,37.0,,"[0,0,0,0,0,0,0,0,0,1]"
370,28.0,,"[0,0,0,0,0,0,0,0,0,1]"
371,32.0,,"[1,0,0,0,0,0,0,0,0,0]"
372,26.0,,
374,34.0,,
375,31.0,,"[0,0,0,0,0,0,0,0,0,1]"
376,32.0,,
386,37.0,,"[0,0,0,0,0,0,0,0,0,1]"
387,28.0,,
388,29.0,,"[0,0,0,0,0,0,0,0,0,1]"
389,,,"[0,0,0,0,1,0,0,0,0,0]"
390,34.0,,"[0,0,0,0,1,0,0,0,0,0]"
391,34.0,,"[0,0,0,0,0,0,0,0,0,1]"
392,39.0,,"[0,0,0,0,0,0,0,0,0,1]"
393,28.0,,"[0,0,0,0,0,0,0,0,0,1]"
394,47.0,,"[0,0,0,0,0,0,0,0,0,1]"
395,,,"[0,0,0,0,0,0,0,0,0,1]"
408,39.0,"[1,0,0]","[0,0,0,0,1,0,0,0,0,0]"
409,40.0,,
410,27.0,,"[0,0,0,0,0,0,1,0,0,0]"
411,27.0,,
412,34.0,,
413,34.0,,"[0,0,0,0,0,0,0,0,0,1]"
414,34.0,,
415,34.0,,"[1,0,0,0,0,0,0,0,0,0]"
416,76.0,,"[0,0,0,0,0,0,0,0,0,1]"
417,33.0,,"[0,0,0,0,1,0,0,0,0,0]"
418,33.0,,"[0,0,0,0,1,0,0,0,0,0]"
419,30.0,,"[1,0,0,0,0,0,0,0,0,0]"
420,32.0,,"[0,0,0,0,0,0,0,0,0,1]"
421,,,"[0,0,0,0,0,0,0,0,0,1]"
422,49.0,,"[0,0,0,0,0,0,0,0,0,1]"
423,26.0,,
424,76.0,,
425,37.0,,"[0,0,0,0,0,0,0,0,0,1]"
426,,"[0,0,1]","[1,0,0,0,0,0,0,0,0,0]"
427,35.0,,"[0,0,0,0,1,0,0,0,0,0]"
428,45.0,,
429,26.0,,
430,34.0,,"[0,0,0,0,1,0,0,0,0,0]"
431,42.0,,
432,58.0,,
433,36.0,,"[0,0,0,0,1,0,0,0,0,0]"
434,33.0,,"[1,0,0,0,0,0,0,0,0,0]"
435,27.0,,"[0,0,0,0,0,0,0,0,0,1]"
436,,,"[1,0,0,0,0,0,0,0,0,0]"
437,36.0,,"[0,0,0,0,1,0,0,0,0,0]"
438,35.0,,
439,25.0,,"[0,0,0,0,0,0,0,0,0,1]"
440,33.0,,
441,31.0,,
442,31.0,,"[0,0,0,0,1,0,0,0,0,0]"
443,26.0,,"[0,0,0,0,1,0,0,0,0,0]"
444,35.0,,
445,,,
446,61.0,,
447,43.0,,"[0,0,0,0,0,0,0,0,0,1]"
448,39.0,,
449,,,"[0,0,0,0,1,0,0,0,0,0]"
450,42.0,,"[1,0,0,0,0,0,0,0,0,0]"
451,23.0,,"[0,0,0,0,0,0,0,0,1,0]"
452,33.0,,"[0,0,0,0,0,0,0,0,0,1]"
453,,,"[0,0,0,0,0,0,0,0,0,1]"
454,27.0,,
455,37.0,,"[0,0,0,0,0,0,0,0,1,0]"
456,24.0,,"[0,0,0,0,0,0,0,0,0,1]"
457,35.0,,"[1,0,0,0,0,0,0,0,0,0]"
458,31.0,,"[0,0,0,0,0,0,0,0,0,1]"
459,22.0,,"[0,0,0,1,0,0,0,0,0,0]"
460,47.0,,"[0,0,0,0,0,0,0,0,0,1]"
461,38.0,,
462,32.0,,"[0,0,0,0,0,0,0,0,0,1]"
463,45.0,,
464,46.0,,"[0,0,0,0,0,0,0,0,1,0]"
465,31.0,,
466,32.0,,"[1,0,0,0,0,0,0,0,0,0]"
467,45.0,,
468,38.0,,
469,28.0,,"[0,0,0,0,0,0,0,0,0,1]"
470,36.0,,"[0,0,0,0,1,0,0,0,0,0]"
471,,,"[0,0,0,0,0,0,0,0,0,1]"
472,35.0,,"[0,0,0,0,0,0,0,0,0,1]"
473,35.0,,"[0,0,0,0,0,0,0,0,0,1]"
474,28.0,,"[0,0,0,0,0,0,0,0,0,1]"
475,36.0,,"[0,0,0,0,0,0,0,0,0,1]"
476,49.0,,"[0,0,0,0,0,0,0,0,1,0]"
477,44.0,,"[0,0,0,0,0,0,0,0,0,1]"
478,26.0,,
479,23.0,,"[0,0,0,0,0,0,0,0,0,1]"
480,35.0,,"[1,0,0,0,0,0,0,0,0,0]"
481,40.0,,
482,36.0,,
483,29.0,,"[0,0,0,0,0,0,0,0,0,1]"
484,27.0,,"[0,0,0,0,0,0,0,0,0,1]"
485,40.0,,"[1,0,0,0,0,0,0,0,0,0]"
486,32.0,,
487,27.0,,"[0,0,0,0,0,0,0,0,0,1]"
488,32.0,,"[1,0,0,0,0,0,0,0,0,0]"
490,35.0,,
491,45.0,,
492,28.0,,"[0,0,0,0,0,1,0,0,0,0]"
493,39.0,,
494,,,"[0,0,0,0,1,0,0,0,0,0]"
495,47.0,,"[0,0,0,0,1,0,0,0,0,0]"
496,30.0,,"[1,0,0,0,0,0,0,0,0,0]"
497,30.0,,"[1,0,0,0,0,0,0,0,0,0]"
498,,,
499,48.0,,
500,38.0,,"[0,0,0,0,0,0,0,0,0,1]"
501,41.0,,"[0,0,0,0,0,0,0,0,0,1]"
502,38.0,,
503,37.0,,"[0,0,0,0,0,0,0,0,0,1]"
504,28.0,,
505,62.0,,
506,-5960.0,,
507,,,
508,33.0,,"[0,0,0,0,0,0,0,0,0,1]"
509,,,"[0,0,0,0,1,0,0,0,0,0]"
510,37.0,,"[0,0,0,0,1,0,0,0,0,0]"
511,44.0,,"[0,0,0,0,0,0,0,0,0,1]"
512,40.0,,"[0,0,0,0,0,0,1,0,0,0]"
513,41.0,,
514,62.0,,
515,34.0,,
516,56.0,,
517,49.0,,
518,,,
519,33.0,,"[0,0,0,0,1,0,0,0,0,0]"
520,62.0,,
521,54.0,,"[1,0,0,0,0,0,0,0,0,0]"
522,53.0,,
523,58.0,,
524,38.0,,"[0,0,0,0,1,0,0,0,0,0]"
525,38.0,,"[0,0,0,1,0,0,0,0,0,0]"
526,34.0,,
527,41.0,,"[1,0,0,0,0,0,0,0,0,0]"
528,35.0,,
529,26.0,,"[0,0,0,0,0,0,0,0,0,1]"
530,31.0,,
531,39.0,,"[1,0,0,0,0,0,0,0,0,0]"
532,42.0,,
533,43.0,,
534,23.0,,"[0,0,0,1,0,0,0,0,0,0]"
535,30.0,,
536,24.0,,"[0,1,0,0,0,0,0,0,0,0]"
537,51.0,,"[0,0,0,0,1,0,0,0,0,0]"
538,38.0,,
539,34.0,,
540,37.0,,"[0,0,0,1,0,0,0,0,0,0]"
541,32.0,,
542,26.0,,"[0,0,0,0,0,0,0,0,0,1]"
543,32.0,,
544,35.0,,
545,,,"[0,0,0,0,0,0,0,0,0,1]"
546,,,
547,39.0,,
548,36.0,,"[1,0,0,0,0,0,0,0,0,0]"
549,28.0,,
550,52.0,,
551,27.0,,
552,50.0,,
553,45.0,,"[0,0,0,0,1,0,0,0,0,0]"
554,30.0,,"[0,1,0,0,0,0,0,0,0,0]"
555,36.0,,"[0,0,0,0,0,0,0,0,0,1]"
556,53.0,,"[0,0,0,0,1,0,0,0,0,0]"
557,25.0,,"[0,0,0,0,0,0,0,0,0,1]"
558,36.0,,"[1,0,0,0,0,0,0,0,0,0]"
559,40.0,,"[0,0,0,0,1,0,0,0,0,0]"
560,45.0,,
561,33.0,,"[0,0,0,0,1,0,0,0,0,0]"
562,38.0,,
563,61.0,,
564,33.0,,"[0,0,0,0,1,0,0,0,0,0]"
565,36.0,,"[1,0,0,0,0,0,0,0,0,0]"
566,41.0,,
569,33.0,,"[0,0,0,0,1,0,0,0,0,0]"
570,,,"[1,0,0,0,0,0,0,0,0,0]"
571,54.0,,
572,36.0,,
573,34.0,,"[0,0,0,0,0,0,0,0,0,1]"
574,36.0,,
575,,,
576,43.0,,
577,44.0,,"[1,0,0,0,0,0,0,0,0,0]"
578,47.0,,
579,24.0,,"[0,0,0,0,0,0,0,0,0,1]"
580,63.0,,"[1,0,0,0,0,0,0,0,0,0]"
581,337.0,,"[0,0,0,0,1,0,0,0,0,0]"
582,34.0,,
583,,,
584,31.0,,"[0,0,0,0,0,0,0,0,0,1]"
585,35.0,"[1,0,0]","[1,0,0,0,0,0,0,0,0,0]"
586,54.0,,
587,,,"[0,1,0,0,0,0,0,0,0,0]"
588,42.0,,"[0,0,0,0,1,0,0,0,0,0]"
589,33.0,,"[0,0,0,0,0,0,0,0,0,1]"
590,23.0,,"[0,0,0,0,0,0,0,0,0,1]"
591,24.0,,"[0,0,0,0,0,0,0,0,0,1]"
592,43.0,,
593,55.0,,
594,-42.0,,
595,37.0,,
596,35.0,,"[0,0,0,1,0,0,0,0,0,0]"
597,33.0,,"[0,0,0,0,0,0,0,0,0,1]"
598,41.0,,
599,46.0,,"[1,0,0,0,0,0,0,0,0,0]"
600,48.0,,"[1,0,0,0,0,0,0,0,0,0]"
601,46.0,,"[0,0,0,0,1,0,0,0,0,0]"
602,31.0,,"[0,0,0,0,0,0,0,0,0,1]"
603,35.0,,"[0,0,0,0,1,0,0,0,0,0]"
604,-44.0,,
605,36.0,,"[0,0,0,0,1,0,0,0,0,0]"
606,47.0,,
607,33.0,,
608,45.0,,"[0,1,0,0,0,0,0,0,0,0]"
609,34.0,"[1,0,0]",
610,,,
611,31.0,,"[0,0,0,0,0,0,0,0,0,1]"
612,31.0,,"[1,0,0,0,0,0,0,0,0,0]"
613,37.0,,"[0,0,0,0,0,0,0,0,0,1]"
614,37.0,"[0,0,1]","[1,0,0,0,0,0,0,0,0,0]"
615,40.0,,"[0,0,0,0,1,0,0,0,0,0]"
616,41.0,,
617,46.0,,"[0,0,0,1,0,0,0,0,0,0]"
618,24.0,,"[0,0,0,0,1,0,0,0,0,0]"
619,34.0,,
621,,,"[0,0,0,0,0,0,0,0,0,1]"
623,,,
624,36.0,,"[1,0,0,0,0,0,0,0,0,0]"
625,34.0,,"[1,0,0,0,0,0,0,0,0,0]"
626,40.0,,
627,36.0,,"[0,0,0,0,0,0,0,0,0,1]"
628,36.0,,
629,38.0,,
630,31.0,,"[1,0,0,0,0,0,0,0,0,0]"
631,32.0,,"[1,0,0,0,0,0,0,0,0,0]"
632,40.0,,
633,40.0,,
634,61.0,,
636,,,
637,75.0,,
638,,,"[0,0,0,0,1,0,0,0,0,0]"
639,28.0,,"[0,0,0,0,0,0,0,0,0,1]"
640,59.0,,"[0,0,0,0,0,0,0,0,0,1]"
641,29.0,,"[0,0,0,0,0,0,0,0,0,1]"
642,-36.0,,"[0,0,0,0,1,0,0,0,0,0]"
643,-37.0,,
644,-39.0,,
645,68.0,,
646,33.0,,"[1,0,0,0,0,0,0,0,0,0]"
647,51.0,,"[0,0,0,0,0,0,0,0,0,1]"
649,27.0,,
650,45.0,,"[0,0,0,0,0,0,0,0,0,1]"
651,41.0,,"[0,0,0,0,0,0,0,0,0,1]"
652,64.0,,
653,42.0,,"[0,0,0,0,0,0,0,0,0,1]"
654,,,
655,68.0,,
656,45.0,,"[1,0,0,0,0,0,0,0,0,0]"
657,45.0,,"[0,0,0,0,0,0,0,0,0,1]"
658,68.0,,
659,47.0,,"[0,0,0,0,1,0,0,0,0,0]"
660,38.0,,"[1,0,0,0,0,0,0,0,0,0]"
661,46.0,,"[0,0,0,0,1,0,0,0,0,0]"
662,39.0,,
664,41.0,,
665,61.0,,
666,47.0,,"[1,0,0,0,0,0,0,0,0,0]"
667,29.0,,
668,47.0,,"[0,0,0,0,1,0,0,0,0,0]"
669,40.0,,"[0,0,0,1,0,0,0,0,0,0]"
670,48.0,,"[0,0,0,0,1,0,0,0,0,0]"
671,28.0,,
672,38.0,,
673,41.0,,"[0,1,0,0,0,0,0,0,0,0]"
674,46.0,,
675,31.0,,"[1,0,0,0,0,0,0,0,0,0]"
676,36.0,,
678,,,"[1,0,0,0,0,0,0,0,0,0]"
679,43.0,,"[0,0,0,0,0,0,0,0,0,1]"
680,47.0,,"[0,0,0,0,0,0,0,0,0,1]"
681,39.0,,
